row,rt,button_pressed,left_image,right_image,trial_type,trial_index,time_elapsed,subject_id,task,responses
7903,925,0,three_2.png,three_1.png,html-button-response,74,191203,5d1c9db1ab2b52001a30f022,typicality,NULL
7904,2034,0,five_7.png,five_6.png,html-button-response,75,193238,5d1c9db1ab2b52001a30f022,typicality,NULL
7905,1677,1,eight_2.png,eight_1.png,html-button-response,76,194916,5d1c9db1ab2b52001a30f022,typicality,NULL
7906,975,1,zero_5.png,zero_7.png,html-button-response,77,195893,5d1c9db1ab2b52001a30f022,typicality,NULL
7907,1619,0,nine_4.png,nine_2.png,html-button-response,78,197514,5d1c9db1ab2b52001a30f022,typicality,NULL
7908,1021,1,one_6.png,one_5.png,html-button-response,79,198537,5d1c9db1ab2b52001a30f022,typicality,NULL
7909,931,0,seven_8.png,seven_10.png,html-button-response,80,199470,5d1c9db1ab2b52001a30f022,typicality,NULL
7910,1312,0,zero_9.png,zero_3.png,html-button-response,81,200783,5d1c9db1ab2b52001a30f022,typicality,NULL
7911,1449,0,nine_9.png,nine_8.png,html-button-response,82,202233,5d1c9db1ab2b52001a30f022,typicality,NULL
7912,1388,1,six_4.png,six_1.png,html-button-response,83,203624,5d1c9db1ab2b52001a30f022,typicality,NULL
7913,911,1,three_4.png,three_7.png,html-button-response,84,204537,5d1c9db1ab2b52001a30f022,typicality,NULL
7914,1072,1,eight_5.png,eight_10.png,html-button-response,85,205610,5d1c9db1ab2b52001a30f022,typicality,NULL
7915,1344,1,five_1.png,five_9.png,html-button-response,86,206956,5d1c9db1ab2b52001a30f022,typicality,NULL
7916,1076,0,seven_1.png,seven_3.png,html-button-response,87,208033,5d1c9db1ab2b52001a30f022,typicality,NULL
7917,4861,0,eight_8.png,eight_7.png,html-button-response,88,212896,5d1c9db1ab2b52001a30f022,typicality,NULL
7918,2426,0,eight_2.png,eight_3.png,html-button-response,89,215323,5d1c9db1ab2b52001a30f022,typicality,NULL
7919,1380,1,five_4.png,five_5.png,html-button-response,90,216704,5d1c9db1ab2b52001a30f022,typicality,NULL
7920,1241,1,two_8.png,two_2.png,html-button-response,91,217947,5d1c9db1ab2b52001a30f022,typicality,NULL
7921,951,0,zero_9.png,zero_3.png,html-button-response,92,218900,5d1c9db1ab2b52001a30f022,typicality,NULL
7922,983,0,two_4.png,two_7.png,html-button-response,93,219885,5d1c9db1ab2b52001a30f022,typicality,NULL
7923,1174,1,six_9.png,six_6.png,html-button-response,94,221060,5d1c9db1ab2b52001a30f022,typicality,NULL
7924,1399,1,nine_8.png,nine_6.png,html-button-response,95,222460,5d1c9db1ab2b52001a30f022,typicality,NULL
7925,1385,0,four_3.png,four_4.png,html-button-response,96,223846,5d1c9db1ab2b52001a30f022,typicality,NULL
7926,2142,0,nine_1.png,nine_10.png,html-button-response,97,225990,5d1c9db1ab2b52001a30f022,typicality,NULL
7927,1135,1,one_9.png,one_4.png,html-button-response,98,227126,5d1c9db1ab2b52001a30f022,typicality,NULL
7928,1724,1,two_3.png,two_4.png,html-button-response,99,228852,5d1c9db1ab2b52001a30f022,typicality,NULL
